harga;tahun;jenis_brand;lokasi
Rp5.200.000;;Dijual Iphone 11 Black 64GB Lengkap Terdaftar;Cilandak, Jakarta Selatan
Rp16.500.000;;IPHONE 13 PRO MAX 128GB IBOX;Kebayoran Baru, Jakarta Selatan
Rp200.000;;Xiaomi Redmi 5A;Pancoran, Jakarta Selatan
Rp600.000;;Xiaomi mi A1 ram 4/64gb;Cilandak, Jakarta Selatan
Rp5.999.000;;Kredit Oppo Reno 8T;Cilandak, Jakarta Selatan
Rp17.000.000;;Yang punya samsung s23 ultra tawarin baru seken tipe lain juga tawarin;Pancoran, Jakarta Selatan
Rp20.000.000;;membeli iphone 14 13 series all tipe pro max yuk cod;Cilandak, Jakarta Selatan
Rp3.200.000;;Iphone 7Plus (256gb) warna rosegold;Pesanggrahan, Jakarta Selatan
Rp13.000.000;;Di beli hp minus iphone xr 11 12 13 14 pro max retak matot sinyal of;Kebayoran Lama, Jakarta Selatan
Rp18.500.000;;Iphone 14 Pro Max 128GB Deep Purple Bu ex IBOX Nota masih ada;Pancoran, Jakarta Selatan
Rp8.450.000;;IPHONE 11 128 GB IBOX LIKE NEW BARU SEBULAN;Kebayoran Lama, Jakarta Selatan
Rp2.200.000;;Samsung Galaxy A71 4G NFC 8/128 Lengkap Ori;Pancoran, Jakarta Selatan
Rp6.700.000;;Xiaomi 23 Purple;Pesanggrahan, Jakarta Selatan
Rp850.000;;Samsung Galaxy A8 2018 4G 4/32 Batangan Normal;Pancoran, Jakarta Selatan
Rp1.100.000;;Samsung Galaxy A7 2018 4G 4/64 Lengkap Normal;Pancoran, Jakarta Selatan
Rp1.000.000;;Realme Narzo 30A 4G 4/64 Fullset Normal;Pancoran, Jakarta Selatan
Rp2.000.000;;Xiaomi Redmi Note 11 4G 6/128 NFC Fullset Garansi;Pancoran, Jakarta Selatan
Rp10.500.000;;Iphone 13 128GB inter Beacukai Resmi;Kebayoran Baru, Jakarta Selatan
Rp5.600.000;;Apple iphone XR 64gb coral ex ibox fullset;Mampang Prapatan, Jakarta Selatan
Rp14.900.000;;Iphone 14 Plus Starlight 128gb - Gress Pemakaian 4 bln;Cilandak, Jakarta Selatan
Rp7.249.000;;iPhone11 64GB & 128GB;Kebayoran Lama, Jakarta Selatan
Rp1.800.000;;Redmi Note 11 4/128;Pasar Minggu, Jakarta Selatan
Rp3.450.000;;iPhone X 64gb fullset mulus;Kebayoran Lama, Jakarta Selatan
Rp8.500.000;;Iphone 11 128gb ibox ( cuma unboxing );Pasar Minggu, Jakarta Selatan
Rp4.500.000;;Jual cepet, negoin aja;Kebayoran Lama, Jakarta Selatan
Rp13.900.000;;iPhone 12 Pro Max 256gb iBox mulus;Cilandak, Jakarta Selatan
Rp1.300.000;;Oppo a31 ram 6/128 Fullset Mulus Nomines;Mampang Prapatan, Jakarta Selatan
Rp1.200.000;;Vivo y20s[G] 4/128;Pesanggrahan, Jakarta Selatan
Rp16.000.000;;iPhone 13 Pro Max 128gb iBox mulus;Cilandak, Jakarta Selatan
